City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
78,Ostrovnoy,RU,68.0531,39.5131,44.83,83,20,20.6,few clouds
79,Sao Filipe,CV,14.8961,-24.4956,80.28,74,35,6.17,scattered clouds
80,Atlantic Beach,US,30.3344,-81.3987,84.09,58,20,6.91,few clouds
81,Ahmadpur,IN,18.7,76.9333,74.59,87,100,5.95,light rain
82,Mosquera,CO,4.7059,-74.2302,64.49,55,40,16.11,scattered clouds
83,Asfi,MA,32.2994,-9.2372,71.55,72,100,12.3,overcast clouds
84,Ambilobe,MG,-13.2,49.05,73.18,69,0,3.36,clear sky
85,Midland,US,31.9974,-102.0779,80.15,21,1,13.8,clear sky
86,Ondjiva,AO,-17.0667,15.7333,87.42,10,87,6.96,overcast clouds
87,Boca Do Acre,BR,-8.7522,-67.3978,103.15,27,79,2.26,light rain
88,Namibe,AO,-15.1961,12.1522,67.78,87,87,3.58,overcast clouds
89,Muros,ES,42.7762,-9.0603,74.14,65,4,16.06,clear sky
90,Belyy Yar,RU,53.6039,91.3903,40.89,75,0,8.95,clear sky
91,Lagoa,PT,39.05,-27.9833,69.08,64,65,10.45,broken clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,57.22,88,90,6.91,overcast clouds
93,Gharghoda,IN,22.1667,83.35,75.97,93,51,3.38,broken clouds
94,Kalur Kot,PK,32.1564,71.2594,90.03,48,10,7.11,clear sky
95,Sorland,NO,67.667,12.6934,48.27,70,64,16.69,broken clouds
96,East London,ZA,-33.0153,27.9116,67.14,82,0,4.61,clear sky
97,Port Elizabeth,ZA,-33.918,25.5701,66.09,55,0,27.63,clear sky
98,Cap-Aux-Meules,CA,47.3821,-61.8597,69.85,78,40,16.11,scattered clouds
99,Karaton,ID,-6.3424,106.1045,80.76,91,93,1.32,overcast clouds
100,San Juan,AR,-31.5375,-68.5364,75.7,20,0,2.89,clear sky
101,Krasnooktyabrskiy,RU,44.9328,38.3712,59.13,80,96,4.72,overcast clouds
102,Oranjemund,NA,-28.55,16.4333,58.55,84,1,11.43,clear sky
103,Lyantonde,UG,-0.4031,31.1572,70.05,69,46,5.5,scattered clouds
104,Nouadhibou,MR,20.931,-17.0347,76.98,69,5,21.85,sand
105,Saint-Pierre,RE,-21.3393,55.4781,71.24,74,0,6.91,clear sky
106,Sur,OM,22.5667,59.5289,87.08,62,26,3.18,scattered clouds
107,Havelock,US,34.8791,-76.9013,82.35,89,90,10.36,moderate rain
108,Porto Novo,BJ,6.4965,2.6036,82.22,76,80,8.37,broken clouds
109,Georgetown,MY,5.4112,100.3354,81.9,80,20,0.0,few clouds
110,Parkent,UZ,41.2944,69.6764,69.62,20,2,5.21,clear sky
111,Hofn,IS,64.2539,-15.2082,37.42,93,90,2.3,light intensity drizzle rain
112,Praia,CV,14.9215,-23.5087,84.74,61,20,13.8,few clouds
113,Kruisfontein,ZA,-34.0033,24.7314,63.88,58,87,20.6,overcast clouds
114,Longyearbyen,SJ,78.2186,15.6401,46.24,61,40,11.5,scattered clouds
115,Rocha,UY,-34.4833,-54.3333,58.8,80,100,5.37,overcast clouds
116,Luderitz,NA,-26.6481,15.1594,60.35,73,2,15.52,clear sky
117,Douentza,ML,14.9951,-2.9517,95.54,33,100,9.44,overcast clouds
118,Beira,MZ,-19.8436,34.8389,71.69,78,20,9.22,few clouds
119,Vardo,NO,70.3705,31.1107,46.38,71,0,18.41,clear sky
120,Port-Gentil,GA,-0.7193,8.7815,78.73,81,20,9.86,few clouds
121,Port-Cartier,CA,50.0334,-66.8654,53.92,93,100,7.07,overcast clouds
122,Pirgos,GR,35.1167,25.7178,68.49,63,22,24.0,few clouds
123,Zhanaozen,KZ,43.3,52.8,76.01,19,1,28.23,clear sky
124,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,16.11,clear sky
125,Mecca,SA,21.4267,39.8261,91.49,35,31,2.75,scattered clouds
126,Saldanha,ZA,-33.0117,17.9442,60.85,90,31,6.08,scattered clouds
127,Najran,SA,17.4924,44.1277,84.85,16,15,6.44,few clouds
128,Bashmakovo,RU,53.2133,43.0342,49.17,90,100,7.27,light rain
129,Serenje,ZM,-13.2325,30.2352,68.56,38,64,3.8,broken clouds
130,Quatre Cocos,MU,-20.2078,57.7625,71.71,80,37,16.17,scattered clouds
131,Volax,GR,41.3167,24.0,55.47,57,65,3.4,broken clouds
132,Bengkulu,ID,-3.8004,102.2655,75.96,91,69,4.18,broken clouds
133,Trincomalee,LK,8.5711,81.2335,81.66,77,99,10.47,overcast clouds
134,Sinnamary,GF,5.3833,-52.95,87.6,59,47,12.53,scattered clouds
135,Jeremie,HT,18.65,-74.1167,84.61,74,51,3.42,broken clouds
136,Umm Kaddadah,SD,13.6017,26.6876,97.07,13,44,13.11,scattered clouds
